NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
2450000,ArrayList_Initialized,13.34,1001.52,29.43,28.76,0.01,1020.88
2450000,LinkedList,10.39,64.24,98.57,96.21,63.26,0.05
2450000,Vector,14.24,1100.13,34.58,33.71,0.04,1116.26
2450000,Vector_Initialized,17.04,1021.99,30.94,32.39,0.02,1136.19

2500000,ArrayList,21.22,1156.76,38.13,33.94,0.01,1335.04
2500000,ArrayList_Initialized,14.46,1042.12,30.47,33.77,0.01,1079.78
2500000,LinkedList,17.18,66.26,97.32,97.59,62.47,0.05
2500000,Vector,16.65,1262.77,34.39,35.71,0.02,1204.2
2500000,Vector_Initialized,21.76,1185.71,35.27,36.45,0.02,1075.27

2550000,ArrayList,21.29,1027.44,29.98,29.34,0.01,1020.15
2550000,ArrayList_Initialized,19.42,1037.18,55.58,50.8,0.01,1034.45
2550000,LinkedList,20.39,68.32,95.9,97.0,62.63,0.05
2550000,Vector,22.77,1022.97,30.46,31.5,0.03,1014.35
2550000,Vector_Initialized,21.84,1003.63,31.09,31.42,0.02,1053.84

2600000,ArrayList,13.92,1047.31,30.19,30.38,0.01,1029.4
2600000,ArrayList_Initialized,11.61,1037.65,32.35,30.66,0.01,1026.69
2600000,LinkedList,9.1,66.51,95.93,96.11,62.13,0.05
2600000,Vector,11.4,1033.75,29.2,32.13,0.02,1026.53
2600000,Vector_Initialized,11.35,1017.0,32.71,32.76,0.02,1021.3

2650000,ArrayList,12.71,1007.47,32.45,31.06,0.01,1024.28
2650000,ArrayList_Initialized,10.95,1022.16,33.15,32.29,0.01,1034.31
2650000,LinkedList,9.18,63.29,96.36,96.97,62.28,0.05
2650000,Vector,13.9,1030.2,31.52,31.97,0.02,1035.1
2650000,Vector_Initialized,11.83,998.93,29.99,31.33,0.02,1011.63

2700000,ArrayList,13.85,1000.57,30.9,28.25,0.01,1018.04
2700000,ArrayList_Initialized,15.3,1050.87,30.77,30.73,0.01,1044.24
2700000,LinkedList,13.43,62.78,95.97,96.65,62.65,0.05
2700000,Vector,16.62,1014.55,32.69,32.57,0.03,1000.92
2700000,Vector_Initialized,13.97,1035.08,32.41,32.48,0.03,1045.13

2750000,ArrayList,17.68,1058.34,35.38,31.48,0.01,1147.73
2750000,ArrayList_Initialized,16.56,1080.47,29.57,30.99,0.01,1074.11
2750000,LinkedList,17.84,66.29,100.22,102.17,66.68,0.04
2750000,Vector,20.23,1071.39,29.35,29.18,0.02,1028.86
2750000,Vector_Initialized,17.28,1005.53,33.14,30.61,0.03,1023.25

2800000,ArrayList,10.91,1009.38,31.59,30.9,0.01,1022.17
2800000,ArrayList_Initialized,9.61,1049.47,32.35,30.85,0.01,1035.11
2800000,LinkedList,8.5,69.79,96.81,94.16,62.55,0.05
2800000,Vector,11.02,1022.44,32.64,32.91,0.02,1023.43
2800000,Vector_Initialized,10.46,1032.17,30.71,28.93,0.02,1032.76

2850000,ArrayList,13.37,989.72,29.35,30.49,0.01,1010.3
2850000,ArrayList_Initialized,11.74,1024.1,32.06,32.01,0.01,1015.2
2850000,LinkedList,10.96,62.94,92.29,95.88,62.83,0.05
2850000,Vector,14.43,1019.49,30.44,28.71,0.02,1019.55
2850000,Vector_Initialized,12.74,1062.54,31.74,33.33,0.02,1050.29

2900000,ArrayList,15.69,1027.1,31.16,31.68,0.01,1029.23
2900000,ArrayList_Initialized,16.61,1015.52,29.28,28.55,0.01,1015.23
2900000,LinkedList,15.04,63.14,96.4,97.25,63.39,0.04
2900000,Vector,17.38,1009.18,30.15,30.08,0.02,1017.46
2900000,Vector_Initialized,16.99,1006.93,33.31,32.58,0.02,1033.24

2950000,ArrayList,10.62,1018.61,30.28,28.27,0.01,1020.66
2950000,ArrayList_Initialized,7.96,1181.77,30.59,30.81,0.01,1029.94
2950000,LinkedList,6.68,63.91,93.63,96.06,62.31,0.04
2950000,Vector,10.08,1006.54,31.35,32.67,0.03,1028.49
2950000,Vector_Initialized,8.46,1015.64,29.77,30.16,0.02,1021.42

3000000,ArrayList,110.44,1054.6,29.17,32.26,0.01,1023.45
3000000,ArrayList_Initialized,8.24,1016.9,37.17,34.54,0.01,1016.72
3000000,LinkedList,7.19,62.38,95.81,96.71,62.47,0.06
3000000,Vector,10.58,1008.88,33.78,32.16,0.02,1011.08
3000000,Vector_Initialized,9.13,1010.51,30.9,31.65,0.02,1015.77

3050000,ArrayList,9.31,1031.01,29.97,30.4,0.01,1034.58
3050000,ArrayList_Initialized,7.28,1036.47,31.53,31.5,0.01,1052.5
3050000,LinkedList,6.43,62.22,92.03,95.76,62.76,0.05
3050000,Vector,8.99,1017.94,32.44,32.83,0.02,1003.99
3050000,Vector_Initialized,10.93,1008.06,31.83,31.87,0.02,999.29

3100000,ArrayList,20.73,1289.85,30.46,31.04,0.01,1317.34
3100000,ArrayList_Initialized,18.2,1009.03,27.21,28.65,0.01,1007.38
